day,date,visitors,orders,units_sold,revenue,margin,conversion_rate,avg_order_value
0,2024-01-01,1247,42,65,3604.35,2280.35,3.368,85.82
1,2024-01-02,1381,56,97,5629.03,3559.03,4.055,100.52
2,2024-01-03,1648,65,119,7108.81,4485.81,3.944,109.37
3,2024-01-04,1483,58,92,5929.08,3714.08,3.911,102.23
4,2024-01-05,1180,37,71,4339.29,2741.29,3.136,117.28
5,2024-01-06,1130,38,59,3469.41,2186.41,3.363,91.3
6,2024-01-07,967,33,55,3369.45,2126.45,3.413,102.1
7,2024-01-08,1350,52,106,6303.94,3973.94,3.852,121.23
8,2024-01-09,1399,57,96,5844.04,3680.04,4.074,102.53
9,2024-01-10,1402,56,106,5978.94,3779.94,3.994,106.77
10,2024-01-11,1395,55,104,6223.96,3927.96,3.943,113.16
11,2024-01-12,1229,43,76,4579.24,2888.24,3.499,106.49
12,2024-01-13,1089,36,55,3369.45,2123.45,3.306,93.6
13,2024-01-14,1169,36,73,4189.27,2650.27,3.08,116.37
14,2024-01-15,1144,37,69,3859.31,2440.31,3.234,104.31
15,2024-01-16,1457,57,91,5329.09,3362.09,3.912,93.49
16,2024-01-17,1411,55,109,6813.91,4291.91,3.898,123.89
17,2024-01-18,1241,43,76,4604.24,2907.24,3.465,107.08
18,2024-01-19,1146,38,77,4529.23,2862.23,3.316,119.19
19,2024-01-20,1081,36,72,4079.28,2578.28,3.33,113.31
20,2024-01-21,963,33,49,2934.51,1855.51,3.427,88.92
21,2024-01-22,1416,58,102,6033.98,3801.98,4.096,104.03
22,2024-01-23,1397,55,116,6898.84,4359.84,3.937,125.43
23,2024-01-24,1510,59,96,5774.04,3627.04,3.907,97.87
24,2024-01-25,1304,50,87,5194.13,3283.13,3.834,103.88
25,2024-01-26,1269,44,79,4694.21,2960.21,3.467,106.69
26,2024-01-27,935,33,56,3109.44,1968.44,3.529,94.23
27,2024-01-28,1284,46,79,5119.21,3228.21,3.583,111.29
28,2024-01-29,1505,59,110,6598.9,4155.9,3.92,111.85
29,2024-01-30,1526,61,105,5773.95,3664.95,3.997,94.65
30,2024-01-31,1590,61,124,7633.76,4803.76,3.836,125.14
31,2024-02-01,1248,37,60,3664.4,2313.4,2.965,99.04
32,2024-02-02,1328,49,90,5679.1,3575.1,3.69,115.9
33,2024-02-03,1128,37,66,3509.34,2226.34,3.28,94.85
34,2024-02-04,1156,36,59,3249.41,2056.41,3.114,90.26
35,2024-02-05,1273,45,74,4594.26,2899.26,3.535,102.09
36,2024-02-06,1330,53,97,5914.03,3722.03,3.985,111.59
37,2024-02-07,1518,59,104,6398.96,4034.96,3.887,108.46
38,2024-02-08,1355,53,98,5684.02,3593.02,3.911,107.25
39,2024-02-09,1312,49,90,5674.1,3573.1,3.735,115.8
40,2024-02-10,1210,42,66,3664.34,2318.34,3.471,87.25
41,2024-02-11,1056,36,70,4424.3,2774.3,3.409,122.9
42,2024-02-12,1279,43,82,5034.18,3170.18,3.362,117.07
43,2024-02-13,1633,66,113,6523.87,4122.87,4.042,98.85
44,2024-02-14,1578,60,114,6988.86,4403.86,3.802,116.48
45,2024-02-15,1576,61,108,6688.92,4200.92,3.871,109.65
46,2024-02-16,1295,47,91,5814.09,3657.09,3.629,123.7
47,2024-02-17,1137,37,67,4189.33,2643.33,3.254,113.23
48,2024-02-18,1070,36,61,3349.39,2122.39,3.364,93.04
49,2024-02-19,1622,63,112,6553.88,4134.88,3.884,104.03
50,2024-02-20,1521,59,87,5334.13,3362.13,3.879,90.41
51,2024-02-21,1657,65,110,6718.9,4236.9,3.923,103.37
52,2024-02-22,1446,56,107,6633.93,4153.93,3.873,118.46
53,2024-02-23,1351,51,84,4784.16,3027.16,3.775,93.81
54,2024-02-24,1041,36,70,3884.3,2462.3,3.458,107.9
55,2024-02-25,1226,39,60,3479.4,2193.4,3.181,89.22
56,2024-02-26,1304,47,71,4534.29,2861.29,3.604,96.47
57,2024-02-27,1785,68,128,7648.72,4823.72,3.81,112.48
58,2024-02-28,1452,58,115,6623.85,4175.85,3.994,114.2
59,2024-02-29,1496,60,113,6388.87,4036.87,4.011,106.48
60,2024-03-01,1175,38,69,3814.31,2407.31,3.234,100.38
61,2024-03-02,1269,44,68,4259.32,2680.32,3.467,96.8
62,2024-03-03,1364,51,93,5384.07,3407.07,3.739,105.57
63,2024-03-04,1507,60,104,6208.96,3908.96,3.981,103.48
64,2024-03-05,1740,66,120,7378.8,4645.8,3.793,111.8
65,2024-03-06,1525,61,114,6713.86,4230.86,4.0,110.06
66,2024-03-07,1606,64,125,7898.75,4979.75,3.985,123.42
67,2024-03-08,1385,55,101,5928.99,3729.99,3.971,107.8
68,2024-03-09,1210,41,63,4094.37,2579.37,3.388,99.86
69,2024-03-10,1178,37,80,4569.2,2890.2,3.141,123.49
70,2024-03-11,1465,58,116,7058.84,4451.84,3.959,121.7
71,2024-03-12,1592,62,96,5734.04,3617.04,3.894,92.48
72,2024-03-13,1776,67,130,7918.7,5004.7,3.773,118.19
73,2024-03-14,1345,50,89,5489.11,3453.11,3.717,109.78
74,2024-03-15,1321,51,107,6838.93,4304.93,3.861,134.1
75,2024-03-16,1240,44,82,4759.18,3008.18,3.548,108.16
76,2024-03-17,1427,54,96,5819.04,3672.04,3.784,107.76
77,2024-03-18,1301,48,75,4284.25,2713.25,3.689,89.26
78,2024-03-19,1631,63,113,6983.87,4408.87,3.863,110.86
79,2024-03-20,1743,66,109,6613.91,4170.91,3.787,100.21
80,2024-03-21,1476,59,116,7093.84,4476.84,3.997,120.23
81,2024-03-22,1499,60,105,6743.95,4235.95,4.003,112.4
82,2024-03-23,1276,45,82,4984.18,3126.18,3.527,110.76
83,2024-03-24,1180,38,72,4244.28,2676.28,3.22,111.69
84,2024-03-25,1637,64,115,6798.85,4291.85,3.91,106.23
85,2024-03-26,1615,60,111,6778.89,4277.89,3.715,112.98
86,2024-03-27,1847,69,127,7283.73,4597.73,3.736,105.56
87,2024-03-28,1541,59,108,6378.92,4021.92,3.829,108.12
88,2024-03-29,1320,49,77,4404.23,2782.23,3.712,89.88
89,2024-03-30,1344,48,82,5064.18,3194.18,3.571,105.5
