day,date,visitors,orders,units_sold,revenue,margin,conversion_rate,avg_order_value
0,2024-01-01,1117,37,68,3552.32,2188.32,3.312,96.01
1,2024-01-02,1519,65,111,6511.14,3959.14,4.279,100.17
2,2024-01-03,1581,65,122,7285.28,4442.28,4.111,112.08
3,2024-01-04,1220,42,76,4383.49,2671.49,3.443,104.37
4,2024-01-05,1339,52,84,4511.66,2765.66,3.883,86.76
5,2024-01-06,975,35,67,4065.33,2495.33,3.59,116.15
6,2024-01-07,1182,41,75,4383.5,2682.5,3.469,106.91
7,2024-01-08,1231,49,100,5822.5,3548.5,3.981,118.83
8,2024-01-09,1724,69,115,6620.35,4012.35,4.002,95.95
9,2024-01-10,1513,65,104,6335.46,3858.46,4.296,97.47
10,2024-01-11,1500,64,127,7104.73,4357.73,4.267,111.01
11,2024-01-12,1238,44,70,4150.8,2533.8,3.554,94.34
12,2024-01-13,1388,56,113,6411.37,3931.37,4.035,114.49
13,2024-01-14,1204,44,73,3842.02,2353.02,3.654,87.32
14,2024-01-15,1603,66,120,6976.55,4265.55,4.117,105.71
15,2024-01-16,1626,66,113,6283.12,3845.12,4.059,95.2
16,2024-01-17,1630,66,128,7427.72,4533.72,4.049,112.54
17,2024-01-18,1631,66,121,6401.79,3925.79,4.047,97.0
18,2024-01-19,1381,56,102,5580.23,3414.23,4.055,99.65
19,2024-01-20,1308,53,107,6249.93,3802.93,4.052,117.92
20,2024-01-21,1195,44,76,4259.99,2597.99,3.682,96.82
21,2024-01-22,1394,57,100,6083.75,3701.75,4.089,106.73
22,2024-01-23,1504,63,122,6701.03,4100.03,4.189,106.37
23,2024-01-24,1868,79,146,7945.29,4864.29,4.229,100.57
24,2024-01-25,1449,61,96,5409.29,3306.29,4.21,88.68
25,2024-01-26,1422,57,105,5684.7,3475.7,4.008,99.73
26,2024-01-27,1363,56,89,4886.86,2999.86,4.109,87.27
27,2024-01-28,1127,39,73,4260.02,2589.02,3.461,109.23
28,2024-01-29,1411,59,117,7228.33,4394.33,4.181,122.51
29,2024-01-30,1746,66,112,6145.38,3764.38,3.78,93.11
30,2024-01-31,1749,71,128,7175.97,4394.97,4.059,101.07
31,2024-02-01,1502,63,114,6444.61,3925.61,4.194,102.3
32,2024-02-02,1553,62,114,7081.11,4315.11,3.992,114.21
33,2024-02-03,1151,41,82,4350.18,2656.18,3.562,106.1
34,2024-02-04,1421,57,113,6758.12,4131.12,4.011,118.56
35,2024-02-05,1570,65,108,5884.17,3609.17,4.14,90.53
36,2024-02-06,1458,62,120,7019.3,4293.3,4.252,113.21
37,2024-02-07,1642,66,111,6705.89,4075.89,4.019,101.6
38,2024-02-08,1756,68,113,6506.37,3974.37,3.872,95.68
39,2024-02-09,1463,60,101,5936.49,3618.49,4.101,98.94
40,2024-02-10,1349,56,101,5926.99,3602.99,4.151,105.84
41,2024-02-11,1268,49,92,5072.08,3103.08,3.864,103.51
42,2024-02-12,1408,60,110,6397.15,3900.15,4.261,106.62
43,2024-02-13,1767,68,120,7009.8,4276.8,3.848,103.09
44,2024-02-14,1435,58,101,5532.74,3389.74,4.042,95.39
45,2024-02-15,1537,66,121,7223.54,4384.54,4.294,109.45
46,2024-02-16,1417,59,99,6117.01,3715.01,4.164,103.68
47,2024-02-17,1390,57,112,6558.63,4007.63,4.101,115.06
48,2024-02-18,1262,44,83,4692.17,2856.17,3.487,106.64
49,2024-02-19,1421,58,94,5447.31,3311.31,4.082,93.92
50,2024-02-20,1530,64,100,5746.5,3502.5,4.183,89.79
51,2024-02-21,1697,67,118,6644.07,4063.07,3.948,99.17
52,2024-02-22,1668,66,128,7517.97,4604.97,3.957,113.91
53,2024-02-23,1546,64,112,6468.38,3943.38,4.14,101.07
54,2024-02-24,1304,51,95,5908.05,3597.05,3.911,115.84
55,2024-02-25,1199,41,81,4445.19,2710.19,3.42,108.42
56,2024-02-26,1774,73,134,7432.41,4541.41,4.115,101.81
57,2024-02-27,1982,87,135,7650.9,4689.9,4.39,87.94
58,2024-02-28,1984,89,166,9769.09,5940.09,4.486,109.77
59,2024-02-29,1545,62,104,6682.21,4062.21,4.013,107.78
60,2024-03-01,1501,62,111,6496.89,3967.89,4.131,104.79
61,2024-03-02,1351,56,107,5751.18,3523.18,4.145,102.7
62,2024-03-03,1238,46,97,5010.28,3078.28,3.716,108.92
63,2024-03-04,1251,46,84,4369.16,2680.16,3.677,94.98
64,2024-03-05,2015,86,172,9669.28,5918.28,4.268,112.43
65,2024-03-06,1953,84,156,8230.19,5051.19,4.301,97.98
66,2024-03-07,1603,65,133,7912.17,4806.17,4.055,121.73
67,2024-03-08,1577,65,119,7071.56,4311.56,4.122,108.79
68,2024-03-09,1400,55,109,5765.41,3543.41,3.929,104.83
69,2024-03-10,1361,53,99,5737.01,3496.01,3.894,108.25
70,2024-03-11,1395,58,105,6083.7,3721.7,4.158,104.89
71,2024-03-12,1491,64,121,6857.79,4186.79,4.292,107.15
72,2024-03-13,1828,74,143,8144.82,4963.82,4.048,110.07
73,2024-03-14,1814,73,117,6416.08,3920.08,4.024,87.89
74,2024-03-15,1603,66,125,7071.5,4325.5,4.117,107.14
75,2024-03-16,1128,40,67,3903.83,2388.83,3.546,97.6
76,2024-03-17,1413,58,110,6192.9,3792.9,4.105,106.77
77,2024-03-18,1608,65,102,5627.73,3444.73,4.042,86.58
78,2024-03-19,1731,69,121,7256.79,4424.79,3.986,105.17
79,2024-03-20,1592,65,142,7921.58,4852.58,4.083,121.87
80,2024-03-21,1675,67,111,5907.89,3631.89,4.0,88.18
81,2024-03-22,1842,75,154,9588.71,5829.71,4.072,127.85
82,2024-03-23,1270,48,88,5048.37,3076.37,3.78,105.17
83,2024-03-24,1387,55,92,5513.83,3369.83,3.965,100.25
84,2024-03-25,1797,71,137,8187.63,4984.63,3.951,115.32
85,2024-03-26,1758,70,130,7688.95,4681.95,3.982,109.84
86,2024-03-27,1773,68,130,7522.7,4589.7,3.835,110.63
87,2024-03-28,1523,65,114,6620.36,4042.36,4.268,101.85
88,2024-03-29,1705,66,114,6216.61,3818.61,3.871,94.19
89,2024-03-30,1297,47,93,5703.82,3471.82,3.624,121.36
